,시도,군구,선거인수,투표수,이재명,윤석열,이재명_득표율,윤석열_득표율,ID
78,강원도,동해시,77147.0,57515.0,22896.0,31739.0,39.80874554464053,55.18386507867513,동해
79,강원도,삼척시,56233.0,43642.0,16297.0,25308.0,37.34246826451583,57.99000962375693,삼척
80,강원도,태백시,35551.0,27039.0,10846.0,15101.0,40.112430193424316,55.84895891120234,태백
81,강원도,정선군,32101.0,24898.0,10103.0,13643.0,40.57755643023536,54.79556590890835,정선
82,강원도,속초시,71571.0,52516.0,21713.0,28342.0,41.3454947063752,53.968314418462946,속초
83,강원도,고성군,24668.0,19218.0,7433.0,10840.0,38.6772817150588,56.4054532209387,고성(강원)
84,강원도,양양군,25257.0,19716.0,7343.0,11495.0,37.24386285250558,58.30290119699736,양양
85,강원도,인제군,27897.0,21836.0,8937.0,11591.0,40.92782560908591,53.082066312511444,인제
86,강원도,홍천군,60872.0,46697.0,18418.0,25851.0,39.44150587832195,55.35901663918453,홍천
87,강원도,횡성군,41685.0,32625.0,12557.0,18546.0,38.48888888888889,56.845977011494256,횡성
88,강원도,영월군,34306.0,26925.0,10758.0,14904.0,39.95543175487465,55.353760445682454,영월
89,강원도,평창군,37325.0,29353.0,11463.0,16571.0,39.05222634824379,56.454195482574185,평창
90,강원도,화천군,21088.0,16494.0,6445.0,9009.0,39.07481508427307,54.6198617679156,화천
91,강원도,양구군,18565.0,14529.0,5689.0,7878.0,39.15617041778512,54.22258930415032,양구
92,강원도,철원군,37248.0,27846.0,11039.0,15194.0,39.64303670186023,54.564389858507504,철원
93,경기도,수원시장안구,234723.0,183882.0,91842.0,83470.0,49.94616112506934,45.39324131780164,수원 장안
94,경기도,수원시권선구,311536.0,235055.0,121028.0,103154.0,51.48922592584714,43.88504818021314,수원 권선
95,경기도,수원시팔달구,161747.0,119627.0,58024.0,56051.0,48.50410024492798,46.854807025169904,수원 팔달
96,경기도,수원시영통구,295828.0,239154.0,114418.0,114252.0,47.84281258101474,47.77340123936877,수원 영통
97,경기도,성남시수정구,207998.0,161006.0,86224.0,68806.0,53.5532837285567,42.73505335204899,성남 수정
98,경기도,성남시중원구,186278.0,142368.0,80857.0,56072.0,56.79436390200044,39.385255113508656,성남 중원
99,경기도,성남시분당구,404493.0,335434.0,140966.0,183094.0,42.02495871020827,54.584210306647506,성남 분당
100,경기도,의정부시,398960.0,295029.0,154851.0,127348.0,52.486704696826415,43.164570262584355,의정부
101,경기도,안양시만안구,209083.0,162812.0,82650.0,73147.0,50.76407144436528,44.92727808761025,안양 만안
102,경기도,안양시동안구,262895.0,216629.0,105221.0,102552.0,48.571982513883185,47.33992217108513,안양 동안
104,경기도,광명시,247357.0,198669.0,103470.0,87112.0,52.081603068420335,43.847807156627354,광명
105,경기도,평택시,472732.0,338768.0,166032.0,156630.0,49.010532281679495,46.235181599206534,평택
106,경기도,양주시,197345.0,145562.0,75236.0,63800.0,51.686566548961956,43.83012049848175,양주
107,경기도,동두천시,81075.0,57532.0,28495.0,26434.0,49.528957797399705,45.946603629284574,동두천
108,경기도,안산시상록구,303413.0,222254.0,121488.0,90654.0,54.66178336497881,40.78846724918337,안산 상록
109,경기도,안산시단원구,260659.0,192948.0,103595.0,80605.0,53.69063167278231,41.775504280946166,안산 단원
110,경기도,고양시덕양구,414210.0,323033.0,167037.0,139914.0,51.70895852745695,43.31260273718165,고양 덕양
111,경기도,고양시일산동구,256654.0,197004.0,96990.0,91849.0,49.232502893342264,46.62291120992467,고양 일산동
112,경기도,고양시일산서구,251203.0,197311.0,99597.0,89677.0,50.477165490013235,45.44956946140864,고양 일산서
113,경기도,과천시,63841.0,54194.0,21072.0,30934.0,38.8825331217478,57.08011957043215,과천
114,경기도,의왕시,139712.0,113105.0,54997.0,53556.0,48.6247292338977,47.350691835020555,의왕
115,경기도,구리시,164281.0,127688.0,63465.0,58865.0,49.703182757972556,46.10065158824635,구리
116,경기도,남양주시,608146.0,460518.0,239179.0,203075.0,51.93694926148381,44.09708198159464,남양주
117,경기도,오산시,188297.0,135108.0,72877.0,55793.0,53.9398111140717,41.295112058501346,오산
